accountid,cred_date,date_ref,tempo_de_casa,max_machine,assunto_short,waitingtime,pesquisa_sat
32,30,61,5.0,3,8,8.0,1
33,31,62,295.0,4,3,10.0,4
34,29,63,99.0,2,3,3.0,1
35,32,64,14.0,2,1,2.0,1
35,32,64,14.0,2,3,2.0,1
36,33,28,17.0,1,3,44.0,1
36,33,65,24.0,1,1,17.0,1
36,33,1,27.0,1,2,11.0,1
36,33,66,28.0,1,3,10.0,1
36,33,67,29.0,1,1,21.0,1
36,33,67,29.0,1,3,21.0,1
36,33,33,33.0,1,3,14.0,1
37,34,27,3.0,3,8,3.0,1
37,34,27,3.0,3,2,3.0,1
38,35,63,11.0,1,2,5.0,1
39,36,68,237.0,2,6,10.0,2
40,37,5,4.0,2,2,5.0,1
41,38,69,-1.0,2,2,7.0,1
41,38,70,58.0,2,8,5.0,1
41,38,70,58.0,2,8,5.0,1
42,39,66,9.0,3,7,10.0,1
42,39,71,67.0,3,1,4.0,1
43,40,72,-5.0,2,3,8.0,1
44,41,73,9.0,3,3,5.0,1
45,42,74,13.0,2,3,1.0,2
45,42,75,14.0,2,3,18.0,2
45,42,76,22.0,2,1,17.0,2
46,43,77,-1.0,2,4,6.0,2
46,43,36,7.0,2,1,8.0,1
46,43,36,7.0,2,1,8.0,2
46,43,36,7.0,2,8,8.0,1
46,43,36,7.0,2,3,8.0,1
46,43,34,13.0,2,2,25.0,1
46,43,78,111.0,2,1,3.0,1
46,43,79,127.0,2,8,3.0,1
47,38,21,13.0,2,6,7.0,1
47,38,80,14.0,2,3,4.0,1
48,44,81,188.0,2,1,17.0,2
48,44,81,188.0,2,2,17.0,1
49,45,82,19.0,2,1,15.0,1
50,46,72,131.0,3,6,3.0,1
51,13,80,0.0,1,8,10.0,1
52,46,65,45.0,3,1,7.0,1
53,47,40,13.0,3,11,12.0,1
53,47,40,13.0,3,1,15.0,1
53,47,40,13.0,3,8,15.0,1
53,47,83,16.0,3,1,5.0,1
53,47,83,16.0,3,1,5.0,1
53,47,84,56.0,3,1,8.0,1
54,41,85,16.0,1,2,614.0,1
55,48,86,7.0,2,3,12.0,1
55,48,72,8.0,2,3,14.0,1
56,49,87,52.0,2,1,6.0,1
57,47,14,34.0,3,3,14.0,1
57,47,88,58.0,3,1,7.0,1
57,47,89,78.0,3,1,5.0,1
57,47,90,91.0,3,3,25.0,1
58,50,91,114.0,4,3,37.0,2
58,50,42,116.0,4,1,8.0,2
58,50,7,229.0,4,6,8.0,1
59,51,92,26.0,1,1,4.0,1
60,16,93,11.0,2,1,7.0,1
60,16,93,11.0,2,1,7.0,1
60,16,93,11.0,2,2,7.0,2
61,52,94,16.0,1,1,11.0,1
61,52,94,16.0,1,8,11.0,1
61,52,84,17.0,1,1,63.0,1
61,52,84,17.0,1,1,63.0,1
61,52,58,26.0,1,1,10.0,1
62,53,95,5.0,1,3,8.0,2
62,53,46,9.0,1,1,6.0,1
62,53,46,9.0,1,2,6.0,2
63,54,96,8.0,1,3,7.0,1
64,55,27,25.0,2,12,7.0,1
65,38,17,24.0,2,3,13.0,1
66,13,60,7.0,2,3,11.0,1
66,13,5,18.0,2,2,4.0,1
67,56,97,101.0,1,11,10.0,4
68,17,98,61.0,2,2,12.0,1
68,17,99,72.0,2,1,8.0,1
68,17,88,78.0,2,1,10.0,1
69,4,32,6.0,1,3,7.0,1
69,4,80,53.0,1,2,5.0,1
69,4,52,59.0,1,3,6.0,1
70,57,100,22.0,2,1,7.0,1
71,58,28,10.0,3,2,9.0,1
71,58,47,24.0,3,2,6.0,1
71,58,33,26.0,3,2,16.0,1
72,20,29,8.0,3,1,10.0,1
72,20,29,8.0,3,1,10.0,2
72,20,29,8.0,3,2,10.0,1
72,20,101,47.0,3,1,9.0,1
72,20,98,76.0,3,1,13.0,1
73,16,6,75.0,2,1,16.0,1
74,5,2,56.0,1,2,12.0,1
75,24,102,6.0,3,2,10.0,2
75,24,83,42.0,3,3,12.0,1
76,59,40,303.0,2,1,13.0,1
76,59,40,303.0,2,2,13.0,1
77,60,103,3.0,2,3,11.0,2
78,61,62,30.0,3,1,9.0,2
79,62,96,0.0,3,1,8.0,1
80,63,56,88.0,1,1,16.0,2
80,63,104,95.0,1,6,12.0,2
81,64,21,11.0,2,2,5.0,1
82,65,88,6.0,1,3,20.0,1
83,38,52,20.0,1,2,11.0,1
83,38,52,20.0,1,1,12.0,1
84,66,105,211.0,2,2,7.0,1
84,66,86,215.0,2,1,4.0,1
84,66,86,215.0,2,11,4.0,1
85,48,9,0.0,2,3,10.0,1
85,48,26,14.0,2,1,4.0,1
85,48,26,14.0,2,2,4.0,1
86,7,43,13.0,3,2,16.0,1
86,7,106,14.0,3,2,23.0,1
86,7,44,17.0,3,3,17.0,1
86,7,44,17.0,3,2,17.0,1
87,16,38,31.0,2,6,5.0,1
88,39,14,11.0,2,1,11.0,1
88,39,107,24.0,2,1,8.0,1
88,39,16,43.0,2,1,8.0,1
89,67,76,177.0,2,2,19.0,2
89,67,108,276.0,2,8,31.0,1
90,68,2,140.0,1,1,5.0,1
90,68,2,140.0,1,3,5.0,1
91,10,80,13.0,2,1,7.0,1
92,37,96,9.0,3,8,7.0,1
93,69,82,6.0,1,1,5.0,1
93,69,82,6.0,1,1,5.0,1
93,69,109,9.0,1,1,5.0,1
93,69,109,9.0,1,2,5.0,1
94,70,110,11.0,3,1,7.0,1
95,71,111,2.0,1,3,7.0,1
95,71,112,12.0,1,3,11.0,1
95,71,112,12.0,1,8,12.0,1
95,71,112,12.0,1,2,12.0,1
96,72,80,10.0,1,1,13.0,1
97,73,109,36.0,3,1,2.0,1
98,74,31,176.0,4,1,11.0,1
98,74,94,202.0,4,1,8.0,1
98,74,113,259.0,4,1,3.0,1
99,75,114,20.0,1,1,7.0,1
100,48,9,0.0,2,8,5.0,1
100,48,9,0.0,2,3,8.0,1
100,48,9,0.0,2,2,8.0,1
101,76,115,31.0,3,6,19.0,1
102,24,7,89.0,3,2,30.0,1
103,77,98,27.0,2,3,9.0,1
103,77,98,27.0,2,2,9.0,1
104,26,31,-1.0,3,4,43.0,1
104,26,33,7.0,3,1,5.0,1
105,38,115,9.0,2,3,2.0,1
105,38,116,17.0,2,3,9.0,1
105,38,52,20.0,2,3,4.0,1
106,78,53,2.0,3,3,5.0,2
106,78,117,13.0,3,1,19.0,2
107,64,114,8.0,1,3,11.0,1
107,64,118,14.0,1,3,16.0,1
108,26,119,8.0,1,3,5.0,1
108,26,20,15.0,1,8,16.0,1
108,26,12,29.0,1,2,19.0,1
108,26,115,42.0,1,2,4.0,1
109,79,114,51.0,1,1,13.0,1
110,80,45,8.0,3,1,12.0,2
110,80,120,28.0,3,2,8.0,2
110,80,1,60.0,3,1,5.0,1
110,80,119,67.0,3,1,11.0,1
110,80,94,84.0,3,8,19.0,1
110,80,69,91.0,3,1,35.0,1
111,81,50,15.0,1,2,28.0,1
112,2,12,0.0,2,3,6.0,1
113,82,44,29.0,3,2,4.0,1
114,34,79,0.0,3,3,4.0,1
115,49,50,6.0,1,2,6.0,1
116,70,64,8.0,2,3,27.0,1
116,70,64,8.0,2,2,27.0,1
117,83,20,24.0,2,3,5.0,1
117,83,71,69.0,2,3,4.0,1
118,48,72,8.0,3,2,2.0,1
119,68,121,-1.0,2,4,14.0,2
119,68,122,7.0,2,1,9.0,4
120,9,24,8.0,3,2,11.0,1
121,4,69,38.0,2,2,4.0,1
122,84,123,3.0,1,3,11.0,1
122,84,94,9.0,1,8,7.0,1
123,85,124,12.0,3,1,49.0,2
124,86,59,0.0,1,3,10.0,1
125,64,52,18.0,2,2,9.0,1
126,87,124,292.0,2,3,7.0,2
126,87,84,376.0,2,1,10.0,1
126,87,96,420.0,2,3,14.0,1
127,72,125,15.0,2,2,10.0,1
128,73,126,17.0,1,2,7.0,1
128,73,9,34.0,1,1,10.0,1
128,73,9,34.0,1,1,10.0,1
129,45,125,-4.0,2,1,13.0,1
130,88,17,44.0,2,2,3.0,1
131,89,89,12.0,2,1,3.0,1
131,89,89,12.0,2,8,3.0,1
131,89,89,12.0,2,2,3.0,1
132,90,127,4.0,1,4,8.0,1
133,45,17,1.0,2,2,3.0,1
133,45,17,1.0,2,3,4.0,1
134,91,128,3.0,3,2,9.0,2
135,29,49,70.0,1,3,6.0,1
136,84,99,6.0,1,11,9.0,1
136,84,99,6.0,1,2,9.0,1
136,84,99,6.0,1,3,10.0,1
136,84,99,6.0,1,2,10.0,1
136,84,12,13.0,1,7,7.0,1
136,84,3,14.0,1,1,19.0,1
136,84,51,18.0,1,6,14.0,1
136,84,39,24.0,1,2,9.0,1
137,41,49,40.0,3,2,7.0,1
138,92,129,179.0,2,2,14.0,2
139,93,130,7.0,3,3,12.0,5
139,93,131,8.0,3,8,13.0,1
139,93,131,8.0,3,1,17.0,1
139,93,131,8.0,3,3,17.0,1
139,93,131,8.0,3,2,17.0,3
139,93,91,44.0,3,5,14.0,2
140,94,85,1.0,3,8,9.0,1
140,94,85,1.0,3,3,9.0,1
140,94,132,8.0,3,3,2.0,1
140,94,132,8.0,3,2,5.0,1
140,94,132,8.0,3,1,6.0,1
140,94,47,18.0,3,2,11.0,1
140,94,133,22.0,3,8,6.0,1
140,94,98,24.0,3,1,8.0,1
140,94,98,24.0,3,1,8.0,1
140,94,98,24.0,3,8,8.0,1
140,94,98,24.0,3,2,8.0,1
140,94,98,24.0,3,7,8.0,1
141,95,134,132.0,2,1,5.0,2
141,95,134,132.0,2,1,5.0,2
141,95,134,132.0,2,1,6.0,2
141,95,134,132.0,2,1,6.0,1
141,95,134,132.0,2,2,6.0,2
142,26,32,0.0,1,3,9.0,1
143,35,12,-1.0,2,4,10.0,1
143,35,12,-1.0,2,2,10.0,1
143,35,115,12.0,2,6,5.0,1
143,35,115,12.0,2,2,7.0,1
143,35,82,45.0,2,1,4.0,1
143,35,82,45.0,2,8,4.0,1
143,35,82,45.0,2,8,4.0,1
143,35,135,51.0,2,2,2.0,1
144,96,20,8.0,2,1,8.0,1
144,96,20,8.0,2,11,8.0,1
145,97,127,109.0,3,2,10.0,1
145,97,96,148.0,3,1,5.0,1
145,97,96,148.0,3,3,5.0,1
146,98,136,7.0,2,1,3.0,1
146,98,136,7.0,2,3,3.0,1
146,98,136,7.0,2,2,3.0,1
146,98,136,7.0,2,2,3.0,1
146,98,137,26.0,2,6,4.0,1
147,71,98,33.0,1,1,10.0,1
147,71,98,33.0,1,1,10.0,1
147,71,98,33.0,1,11,10.0,1
147,71,98,33.0,1,2,10.0,1
147,71,108,36.0,1,2,11.0,1
148,75,69,9.0,3,3,2.0,1
149,21,98,6.0,3,3,9.0,1
150,83,43,2.0,2,1,4.0,1
150,83,43,2.0,2,2,4.0,1
151,99,76,2.0,3,3,12.0,2
151,99,38,63.0,3,2,17.0,1
152,60,138,11.0,3,2,12.0,2
152,60,13,20.0,3,1,5.0,1
152,60,40,24.0,3,1,13.0,1
152,60,40,24.0,3,5,13.0,1
152,60,23,25.0,3,1,22.0,1
153,100,104,45.0,1,11,20.0,1
153,100,104,45.0,1,2,20.0,1
153,100,104,45.0,1,2,20.0,2
153,100,139,75.0,1,8,5.0,1
154,13,52,6.0,3,3,13.0,1
154,13,105,32.0,3,1,13.0,1
154,13,105,32.0,3,1,13.0,1
154,13,105,32.0,3,1,13.0,1
154,13,105,32.0,3,3,13.0,1
154,13,105,32.0,3,2,13.0,1
154,13,105,32.0,3,2,13.0,1
155,69,137,8.0,2,3,6.0,1
156,39,43,0.0,1,3,9.0,1
156,39,132,2.0,1,1,12.0,1
156,39,132,2.0,1,2,12.0,1
156,39,31,6.0,1,3,9.0,1
156,39,32,7.0,1,8,2.0,1
156,39,1,8.0,1,1,9.0,1
156,39,1,8.0,1,2,9.0,1
157,101,79,3.0,1,1,5.0,1
157,101,79,3.0,1,4,5.0,1
157,101,70,9.0,1,7,9.0,1
158,102,140,230.0,2,1,11.0,2
158,102,75,277.0,2,3,11.0,2
158,102,98,381.0,2,1,15.0,1
158,102,98,381.0,2,1,15.0,1
158,102,98,381.0,2,8,15.0,1
158,102,49,382.0,2,1,4.0,1
158,102,55,383.0,2,1,15.0,1
159,103,69,0.0,2,11,5.0,1
159,103,69,0.0,2,2,5.0,1
159,103,115,10.0,2,2,7.0,1
160,9,24,8.0,3,3,9.0,1
160,9,24,8.0,3,2,9.0,1
160,9,132,18.0,3,2,17.0,1
160,9,1,24.0,3,1,17.0,1
160,9,141,85.0,3,10,82.0,1
161,104,48,-2.0,2,8,16.0,1
161,104,48,-2.0,2,4,16.0,1
161,104,48,-2.0,2,2,16.0,1
161,104,118,8.0,2,3,15.0,1
161,104,116,9.0,2,1,52.0,1
162,105,142,10.0,3,2,12.0,1
163,35,63,11.0,2,1,3.0,1
164,106,89,8.0,3,3,6.0,1
165,86,59,0.0,3,1,22.0,1
165,86,59,0.0,3,3,22.0,1
166,107,38,94.0,1,2,179.0,1
166,107,38,94.0,1,2,179.0,1
167,108,55,70.0,1,1,9.0,1
168,109,143,12.0,3,3,26.0,2
168,109,11,88.0,3,10,8.0,1
168,109,11,88.0,3,2,8.0,1
168,109,89,115.0,3,8,4.0,1
169,110,64,13.0,1,3,9.0,1
169,110,64,13.0,1,3,9.0,1
169,110,64,13.0,1,3,40.0,1
169,110,9,21.0,1,3,12.0,1
170,62,86,13.0,3,1,2.0,1
170,62,144,16.0,3,2,7.0,1
170,62,145,17.0,3,3,14.0,1
171,62,109,8.0,3,2,11.0,1
172,9,40,6.0,1,10,8.0,1
172,9,40,6.0,1,4,8.0,1
173,111,55,28.0,1,2,9.0,1
173,111,55,28.0,1,1,20.0,1
173,111,55,28.0,1,1,20.0,1
173,111,55,28.0,1,2,20.0,1
173,111,108,29.0,1,2,14.0,1
173,111,94,40.0,1,1,13.0,1
174,108,77,14.0,2,1,3.0,3
174,108,139,35.0,2,1,10.0,1
174,108,139,35.0,2,1,10.0,1
174,108,31,56.0,2,3,4.0,1
174,108,25,113.0,2,1,7.0,1
175,112,122,6.0,1,3,17.0,3
175,112,122,6.0,1,2,51.0,3
175,112,117,11.0,1,1,2.0,1
175,112,117,11.0,1,1,2.0,2
175,112,117,11.0,1,2,2.0,1
176,45,18,16.0,2,2,8.0,1
177,57,28,3.0,3,3,62.0,1
177,57,14,16.0,3,1,10.0,1
177,57,14,16.0,3,1,10.0,1
177,57,33,19.0,3,1,7.0,1
178,111,88,43.0,1,1,6.0,1
179,71,98,33.0,2,1,7.0,1
179,71,52,75.0,2,1,5.0,1
179,71,17,79.0,2,1,5.0,1
180,113,135,15.0,3,2,16.0,1
181,114,98,10.0,2,2,16.0,1
181,114,72,83.0,2,2,5.0,1
182,114,94,24.0,3,1,3.0,1
182,114,94,24.0,3,1,3.0,1
183,100,146,31.0,3,1,172.0,1
183,100,146,31.0,3,2,172.0,2
183,100,146,31.0,3,2,172.0,1
183,100,147,135.0,3,2,15.0,1
183,100,147,135.0,3,2,15.0,1
183,100,148,171.0,3,2,0.0,1
184,115,86,5.0,2,2,4.0,1
185,54,10,27.0,2,2,34.0,1
186,116,55,30.0,2,8,9.0,1
186,116,55,30.0,2,2,9.0,1
187,97,149,29.0,3,2,14.0,2
187,97,57,31.0,3,8,20.0,2
188,10,115,8.0,3,12,5.0,1
189,32,150,9.0,2,3,11.0,1
190,117,108,28.0,1,3,12.0,1
190,117,11,35.0,1,2,15.0,1
191,118,141,14.0,1,4,8.0,1
192,35,12,-1.0,2,8,9.0,1
193,119,72,163.0,2,8,6.0,1
194,120,144,21.0,2,3,17.0,1
195,121,52,177.0,1,2,6.0,1
196,122,72,26.0,3,6,3.0,1
197,123,25,25.0,2,4,8.0,1
197,123,78,38.0,2,1,2.0,1
197,123,18,41.0,2,2,6.0,1
197,123,148,43.0,2,1,8.0,1
198,105,151,6.0,2,1,9.0,1
198,105,151,6.0,2,3,9.0,1
198,105,151,6.0,2,2,9.0,1
198,105,139,11.0,2,1,12.0,1
198,105,73,14.0,2,1,6.0,1
198,105,84,59.0,2,2,24.0,1
198,105,89,81.0,2,1,2.0,1
199,124,152,13.0,1,6,12.0,3
199,124,153,45.0,1,2,80.0,2
200,111,106,9.0,1,1,14.0,1
200,111,106,9.0,1,1,14.0,1
200,111,106,9.0,1,11,14.0,1
200,111,106,9.0,1,2,14.0,1
200,111,106,9.0,1,2,14.0,1
201,58,6,39.0,3,3,12.0,1
201,58,87,92.0,3,3,5.0,1
202,55,137,14.0,2,1,5.0,1
202,55,137,14.0,2,1,5.0,1
202,55,137,14.0,2,3,5.0,1
203,125,154,0.0,1,1,9.0,1
203,125,154,0.0,1,3,9.0,2
203,125,101,16.0,1,8,9.0,1
203,125,78,103.0,1,10,2.0,1
203,125,144,120.0,1,10,6.0,1
203,125,144,120.0,1,10,6.0,1
203,125,144,120.0,1,8,6.0,1
204,58,155,6.0,1,1,3.0,1
204,58,155,6.0,1,2,3.0,1
204,58,155,6.0,1,2,3.0,1
204,58,85,7.0,1,1,7.0,1
204,58,85,7.0,1,1,13.0,1
204,58,112,9.0,1,1,5.0,1
205,79,156,53.0,3,1,4.0,1
206,126,103,6.0,2,3,9.0,2
207,21,6,15.0,2,6,12.0,1
207,21,84,21.0,2,1,6.0,1
207,21,88,23.0,2,2,4.0,1
207,21,126,54.0,2,2,12.0,1
208,127,98,16.0,1,3,4.0,1
208,127,99,27.0,1,8,12.0,1
208,127,99,27.0,1,3,12.0,1
208,127,99,27.0,1,2,12.0,1
208,127,99,27.0,1,5,12.0,1
208,127,88,33.0,1,1,10.0,1
208,127,12,34.0,1,1,16.0,1
208,127,12,34.0,1,7,16.0,1
209,128,50,8.0,2,2,6.0,1
210,83,112,-1.0,1,4,59.0,1
210,83,69,41.0,1,11,10.0,1
210,83,69,41.0,1,2,10.0,1
211,48,113,6.0,1,3,44.0,1
211,48,113,6.0,1,2,44.0,1
211,48,113,6.0,1,2,44.0,1
212,43,119,50.0,3,1,13.0,1
212,43,60,96.0,3,8,6.0,1
213,129,134,133.0,2,1,11.0,1
213,129,134,133.0,2,8,11.0,1
213,129,134,133.0,2,11,11.0,1
213,129,134,133.0,2,2,11.0,2
214,96,123,12.0,1,2,5.0,1
214,96,123,12.0,1,2,5.0,1
214,96,123,12.0,1,2,10.0,1
214,96,123,12.0,1,13,10.0,1
215,2,18,43.0,3,2,6.0,1
216,130,110,14.0,3,2,12.0,1
217,57,55,25.0,1,3,12.0,1
217,57,64,80.0,1,3,12.0,1
218,131,83,31.0,3,10,12.0,1
218,131,83,31.0,3,6,12.0,1
219,101,135,-1.0,2,4,65.0,1
219,101,26,8.0,2,3,9.0,1
220,132,149,17.0,3,3,6.0,5
220,132,77,23.0,3,1,13.0,2
221,17,102,0.0,1,3,9.0,2
221,17,83,36.0,1,2,220.0,1
222,133,157,5.0,2,2,7.0,2
222,133,112,131.0,2,8,16.0,1
222,133,112,131.0,2,3,16.0,1
223,119,158,8.0,3,1,11.0,2
223,119,55,92.0,3,3,31.0,1
224,90,114,16.0,1,3,5.0,1
224,90,114,16.0,1,3,49.0,1
224,90,21,19.0,1,8,4.0,1
224,90,21,19.0,1,2,4.0,1
224,90,80,20.0,1,2,9.0,1
224,90,2,28.0,1,2,23.0,1
225,57,47,17.0,3,2,7.0,1
225,57,47,17.0,3,2,9.0,1
226,134,12,9.0,3,2,41.0,1
226,134,7,13.0,3,2,17.0,1
226,134,16,16.0,3,2,7.0,1
226,134,17,37.0,3,2,3.0,1
226,134,78,49.0,3,2,20.0,1
227,135,50,102.0,2,1,8.0,1
227,135,115,117.0,2,14,5.0,1
228,39,14,11.0,2,2,43.0,1
229,76,25,45.0,1,1,18.0,1
229,76,17,46.0,1,7,10.0,1
230,76,11,10.0,1,3,11.0,1
230,76,50,16.0,1,8,12.0,1
230,76,71,49.0,1,1,43.0,1
231,16,107,72.0,3,2,8.0,1
232,128,6,1.0,3,3,6.0,1
233,35,59,14.0,2,3,5.0,1
234,75,84,3.0,2,2,15.0,1
234,75,159,57.0,2,1,7.0,1
234,75,159,57.0,2,8,7.0,1
235,44,146,161.0,2,8,9.0,2
235,44,50,254.0,2,7,7.0,1
235,44,141,289.0,2,1,11.0,1
235,44,22,294.0,2,1,3.0,1
236,41,23,12.0,3,2,9.0,1
237,61,69,126.0,3,1,13.0,1
237,61,69,126.0,3,2,13.0,1
238,57,55,25.0,1,2,4.0,1
238,57,55,25.0,1,2,4.0,1
238,57,55,25.0,1,2,4.0,1
239,5,31,0.0,1,3,4.0,1
239,5,11,22.0,1,6,7.0,1
240,136,72,31.0,1,2,8.0,1
241,33,112,16.0,3,3,10.0,1
241,33,112,16.0,3,3,96.0,1
242,103,17,25.0,2,2,4.0,1
243,79,15,14.0,2,3,7.0,1
244,127,47,10.0,2,2,14.0,1
244,127,100,15.0,2,3,5.0,1
244,127,108,19.0,2,3,8.0,1
245,48,26,14.0,1,3,25.0,1
246,137,123,340.0,2,3,9.0,1
246,137,123,340.0,2,12,9.0,1
246,137,84,347.0,2,2,9.0,1
247,138,86,-1.0,2,4,3.0,1
248,139,160,-1.0,3,8,12.0,2
248,139,160,-1.0,3,4,12.0,1
248,139,161,14.0,3,11,14.0,2
248,139,95,15.0,3,1,16.0,2
248,139,46,19.0,3,1,14.0,2
248,139,158,20.0,3,6,5.0,2
248,139,67,94.0,3,12,9.0,1
248,139,79,176.0,3,1,8.0,1
249,140,115,93.0,3,2,6.0,1
250,39,40,-10.0,1,4,3.0,1
250,39,65,5.0,1,3,15.0,1
251,10,7,-1.0,2,1,17.0,1
251,10,39,6.0,2,2,2.0,1
252,97,161,1.0,3,2,8.0,2
253,141,108,6.0,1,1,35.0,1
253,141,108,6.0,1,1,35.0,1
253,141,108,6.0,1,10,35.0,1
253,141,16,28.0,1,2,6.0,1
253,141,162,56.0,1,3,5.0,1
253,141,72,76.0,1,1,13.0,1
254,142,92,9.0,1,3,15.0,1
254,142,112,27.0,1,8,259.0,1
254,142,112,27.0,1,6,259.0,1
255,117,28,5.0,3,3,7.0,1
255,117,28,5.0,3,2,14.0,1
255,117,28,5.0,3,2,14.0,1
255,117,132,9.0,3,1,13.0,1
255,117,3,44.0,3,3,8.0,1
255,117,69,46.0,3,2,5.0,1
255,117,145,101.0,3,2,3.0,1
256,143,68,9.0,1,1,14.0,2
256,143,14,100.0,1,2,32.0,1
256,143,113,178.0,1,2,10.0,1
257,144,27,9.0,2,7,9.0,1
258,83,110,80.0,3,2,29.0,1
258,83,109,87.0,3,8,3.0,1
258,83,109,87.0,3,2,3.0,1
258,83,86,92.0,3,1,3.0,1
258,83,72,93.0,3,11,4.0,1
258,83,72,93.0,3,2,4.0,1
259,2,58,6.0,1,1,3.0,1
259,2,58,6.0,1,3,3.0,1
259,2,26,61.0,1,3,22.0,1
260,145,49,15.0,3,3,8.0,1
260,145,55,16.0,3,12,9.0,1
260,145,8,19.0,3,3,28.0,1
260,145,99,25.0,3,3,8.0,1
261,20,22,132.0,3,8,2.0,1
262,39,65,5.0,3,3,15.0,1
262,39,31,6.0,3,3,15.0,1
263,16,64,123.0,1,3,2.0,1
264,146,76,3.0,2,3,27.0,2
265,16,163,14.0,3,2,3.0,2
266,147,51,8.0,1,8,10.0,1
266,147,51,8.0,1,2,10.0,1
266,147,58,9.0,1,2,3.0,1
266,147,87,47.0,1,1,3.0,1
266,147,82,49.0,1,1,4.0,1
266,147,27,62.0,1,12,79.0,1
266,147,27,62.0,1,2,79.0,1
267,148,164,23.0,2,1,8.0,2
267,148,165,31.0,2,1,10.0,2
267,148,166,42.0,2,1,12.0,2
267,148,61,120.0,2,2,12.0,1
267,148,16,182.0,2,1,8.0,1
267,148,150,209.0,2,2,7.0,1
267,148,10,235.0,2,1,9.0,1
267,148,10,235.0,2,1,9.0,1
268,13,110,24.0,3,3,9.0,1
268,13,148,27.0,3,3,10.0,1
269,149,71,32.0,1,3,3.0,1
269,149,27,60.0,1,1,6.0,1
270,150,103,70.0,1,8,544.0,5
271,54,78,7.0,3,3,2.0,1
